GLOBAL BBS, Alger, 100, 25T, all, 137
Optimalogistic, Alger, 5, 1T, all, 156
Optimalogistic, Alger, 5, 3T, all, 225
Optimalogistic, Alger, 5, 5T, all, 199
Optimalogistic, Alger, 15, 10T, all, 159
Optimalogistic, Alger, 20, 25T, all, 163
TRANSITAIRE Algérie, Alger, 30, 20T, all, 131
DKL LIVRAISON, Alger, 30, 20T, all, 228
SARL TRANSPORT BAF, Blida, 35, 20T, all, 195
BHS DELIVERY, Boumerdes, 16, 5T, all, 152
BHS DELIVERY, Boumerdes, 4, 10T, all, 143
BHS DELIVERY, Boumerdes, 3, 12T, all, 127
BHS DELIVERY, Boumerdes, 3, 13T, all, 238
BHS DELIVERY, Boumerdes, 7, 20T, all, 234
SARL ARABEX, Annaba, 10, 25T, potato, 153
SARL BM IMPORT EXPORT, Tizi Ouzou, 5, 20T, all, 167
SARL GRCOM, Tlemcen, 50, 15T, lemon & orange, 194
HAMIMOUR EXPORT FRUITS ET LÉGUMES D'ALGÉRIE (HEFLA), Mila, 10, 20T, all, 172
SARL 2M SILVERSTON DEVELOPMENT CO, Biskra, 7, 10T, date, 226
SARL 2M SILVERSTON DEVELOPMENT CO, Biskra, 12, 15T, date, 141
EXPLOITATION AGRICOLE SAYAH, Chlef, 10, 13T, orange, 181
NAOURASS IMPORT EXPORT, Guelma, 15, 10T, all, 139
NAOURASS IMPORT EXPORT, Guelma, 10, 15T, all, 123
NAOURASS IMPORT EXPORT, Guelma, 10, 20T, all, 220
ZAMMIT, Alger, 7, 10T, date, 187
EURL KAIBRA, Alger, 20, 15T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 209
EURL KAIBRA, Alger, 10, 20T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 176
SARL AZIZA INTERNATIONAL TRADING, Biskra, 5, 15T, date, 232
TASFIA AGRO-ALIMENTAIRES IMPORT-EXPORT, Relizane, 7, 20T, date, 237
SARL WAHRANE, Oran, 8, 20T, citrus & lemon & clementine & mandarine, 233
SARL GENALI, Alger, 7, 15T, wheat & potato & tomato, 219
AFRICA TRADE EXPORT, Alger, 11, 10T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 214
AFRICA TRADE EXPORT, Alger, 7, 15T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 140
SARL DAFIL, Alger, 7, 15T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 148
NC. EUROMED INTERNATIONAL (BVI) LIMITED, Biskra, 5, 20T, all, 186
SARL BIKA EXPORT, Alger, 7, 10T, all, 151
COMPAGNIE GÉNÉRALE AL DJAZAÏR, Setif, 10, 10T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 221
COMPAGNIE GÉNÉRALE AL DJAZAÏR, Setif, 7, 15T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 198
COMPAGNIE GÉNÉRALE AL DJAZAÏR, Setif, 5, 20T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 170
SAKORA GROUP, Bouira, 12, 15T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 144
SAKORA GROUP, Bouira, 8, 20T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 182
SARL BENBITALUX, Tipaza, 7, 25T, potato, 213
AGROBOER, Oran, 5, 20T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 180
SNAB, Constantine, 8, 15T, wheat & potato & tomato & citrus & lemon & clementine & mandarine, 183
